svyear,ER,XR,XSH,ESH,XRS,ERS
2000-2001,0.514959438045458,0.32669520588444,0.238611778279506,0.228750958722281,0.645884211582023,0.387962722352012
2001-2002,0.429626091974609,0.179690764730464,0.054605979448454,0.0876439021496016,0.263681216821378,0.183516869330447
2002-2003,0.318659982493833,0.174966181268401,0.0745103077236011,0.0703199209757353,0.37963164660605,0.195993099774582
2003-2004,0.418143131310322,0.144369037354324,0.098387573678325,0.0788776673188586,0.646744573244722,0.175277153534022
2004-2005,0.365342211548958,0.133304224429647,0.107398963299927,0.143244564126841,0.78228584060115,0.396477466746829
2005-2006,0.300320819596583,0.137961288950335,0.108388419845948,0.13333780748083,0.759585577595955,0.441588745877531
2006-2007,0.349142203583683,0.162005337399924,0.0535134806924487,0.0807178529305663,0.292456108346659,0.210725071206062
2007-2008,0.497038835575083,0.17629526856027,0.148161953513562,0.188235991371492,0.812663147466862,0.384255633169404
2008-2009,0.366535996031244,0.158171454140443,0.0976434864839755,0.179468370993052,0.5759180120849,0.50234213988555
2009-2010,0.291873115795321,0.139450265046469,0.0652270611559635,0.0622524470914171,0.43060424945353,0.195811957422275
2010-2011,0.342200636853719,0.157733024217201,0.0996166103379939,0.129595255114239,0.590787677227035,0.366356217572093
2011-2012,0.174896142608214,0.113822983957755,0.0760316132700775,0.0918821684819348,0.640659998748282,0.512612064790522
2012-2013,0.198720032902324,0.138309254056518,0.0779877023972884,0.0642436694443097,0.5269745018441,0.297658655080681
2013-2014,0.204738566374001,0.115717468221727,0.0684124576545876,0.0581863450986314,0.561181884154364,0.266914595664663
2014-2015,0.207847204009499,0.104780168089064,0.036654820311052,0.0595887705701004,0.325087125229893,0.27057509635128
